dataset,prepared_rows,features,target,horizon,temperature_support_range,temperature_safe_gain,temperature_safe_minus_shuffled,ci_low,ci_high,safe_dispersion_corr,anchor_spread_corr
Appliances Energy,19729,32,log(1+future Appliances),h=6 samples (~1 hour),45.62,0.00341,-0.01199,-0.05331,0.01532,0.51,0.522
UCI Air Quality,9356,19,future C6H6(GT),h=1 hour,45.55,0.01635,0.05312,0.00695,0.09534,0.727,0.646
