task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
controlled_d1_clean,0,temperature,8,6,12,7,0.5384615384615384,1,0,1.0,0.42857142857142855,0.0020226241640919455,0.005835887245791319,0.0045754167897052575,-0.002552792625613312,0.028908321716375848,0.026885697552283903,0.02307243447058453,55.28286677923358,0.07200661935823627
controlled_d1_clean,0,gain,2,0,6,7,0.5384615384615384,1,1,0.8571428571428571,0.14285714285714285,0.0009037994006755512,0.0009037994006755512,-0.0061112238085835975,0.007015023209259149,0.0052282124225595155,0.004324413021883964,0.004324413021883964,6.859579571028007e-11,1.5314140206992168
controlled_d1_clean,0,leak,10,6,12,7,0.5384615384615384,1,1,0.8571428571428571,0.42857142857142855,0.0,0.0,-0.005226784805942268,0.005226784805942268,0.019816598792519933,0.019816598792519933,0.019816598792519933,0.0,0.0
controlled_d1_clean,0,sparsity,2,2,2,1,0.07692307692307693,1,0,0.3076923076923077,0.07692307692307693,0.0,0.0006497683932589413,-0.008559914615311411,0.008559914615311411,0.02699298742580867,0.02699298742580867,0.026343219032549728,57.999999996495426,0.16583883068215888
controlled_d1_clean,1,temperature,4,3,5,3,0.23076923076923078,1,0,0.5454545454545454,0.18181818181818182,0.00025923195750986866,0.0008414318335435225,-0.0037498707577118956,0.004009102715221764,0.060175858288332405,0.05991662633082254,0.05933442645478888,54.876254207416714,0.17741859911605007
controlled_d1_clean,1,gain,2,0,5,6,0.46153846153846156,1,1,0.75,0.375,0.0,0.0,-0.007629187638315104,0.007629187638315104,0.053459544056096514,0.053459544056096514,0.053459544056096514,6.931344387339777e-11,1.4601712039809993
controlled_d1_clean,1,leak,9,7,12,6,0.46153846153846156,1,1,0.875,0.625,0.0003717097847441911,0.0003717097847441911,-0.0036422859584058697,0.004013995743150061,0.058013023477709764,0.05764131369296557,0.05764131369296557,0.0,0.0
controlled_d1_clean,1,sparsity,12,11,12,2,0.15384615384615385,1,1,0.6666666666666666,0.08333333333333333,0.0,0.0,-0.004677252630545897,0.004677252630545897,0.0621110981196843,0.0621110981196843,0.0621110981196843,57.999999996495426,0.15275112273502223
controlled_d1_clean,2,temperature,6,4,6,3,0.23076923076923078,1,1,0.5454545454545454,0.2727272727272727,0.0,0.0,-0.006594972773408953,0.006594972773408953,0.07569751894255,0.07569751894255,0.07569751894255,55.188817431972524,0.12591861608353705
controlled_d1_clean,2,gain,0,0,5,6,0.46153846153846156,1,1,0.75,0.75,0.007936865370162152,0.007936865370162152,0.0037899427184531955,0.004146922651708957,0.07991106314078465,0.0719741977706225,0.0719741977706225,6.913580818945775e-11,1.5616072140134616
