split_id,split_start,window_id,safe_gain,safe_dispersion,anchor_spread,local_sensitivity,positive_safe_gain
0,0,0,0.0,0.05166388266356433,0.11390454371251725,0.36174607875760406,0
0,0,1,0.029310180500540906,0.07854419013456128,0.16803952920041887,0.5336717815045804,1
0,0,2,0.08770821463877765,0.09577799917366023,0.19697182971123148,0.6255570208295235,1
0,0,3,0.09435016975473964,0.0849952720187762,0.176386073039039,0.5601793237534632,1
0,0,4,0.0644702771746648,0.061541031262229935,0.13307927388192783,0.42264253840653687,1
0,0,5,0.0,0.06382662255512334,0.14335660260849886,0.45528200339858527,0
0,0,6,0.0,0.058428728163811845,0.13455079581799922,0.42731590149487103,0
0,0,7,0.0,0.05002282647879408,0.11451576787391729,0.36368724753298165,0
0,0,8,0.0,0.07617839316461417,0.163741599415806,0.5200221131447013,0
0,0,9,0.02595592329706853,0.08367831289921993,0.17168373234651352,0.5452452987263608,1
0,0,10,0.040914794462757365,0.07383006054526861,0.15156748983777332,0.4813587178254261,1
0,0,11,0.0,0.07865496173938358,0.16514833080889318,0.5244897098597091,0
0,0,12,0.0,0.08032010138979108,0.1753462305241883,0.5568769185990028,0
0,0,13,0.0,0.05857897929556966,0.13647382720810275,0.43342320013304897,0
0,0,14,0.0,0.058705172749327184,0.12965903683565436,0.41178030851135705,0
0,0,15,0.01602739770958539,0.08005802071465254,0.16600297600491334,0.5272039523149497,1
0,0,16,0.002446967655034493,0.08258638783070375,0.16773133294635145,0.5326929901169598,1
0,0,17,0.0,0.07574050329774137,0.15379053446418994,0.48841881964664086,0
0,0,18,0.0,0.06748334002584673,0.14715141967904014,0.46733385093800756,0
0,0,19,0.0,0.07060887045870619,0.15598063645999158,0.49537429993950804,0
0,0,20,0.0,0.08891385095132545,0.18648583007016512,0.5922548440385501,0
0,0,21,0.044733204523746406,0.10317495644356024,0.2121768667724781,0.6738462492921942,1
0,0,22,0.10115132234054924,0.10287206436904345,0.20928835556513078,0.6646727117962492,1
1,2219,0,0.0052494565346346,0.011941982535699258,0.02973524676312217,0.09443529263062327,1
1,2219,1,0.0025425030762491474,0.01587670148154075,0.0392122062451217,0.12453288855981258,1
1,2219,2,0.0,0.02006558890277502,0.0487405122428427,0.15479355437291265,0
1,2219,3,0.0,0.020439759111961053,0.049194436294811635,0.15623515837308283,0
1,2219,4,0.005212942712596869,0.013640648087536789,0.03578136986091396,0.11363699654010134,1
1,2219,5,0.0,0.012359386413610356,0.03148037252852706,0.09997758604577794,0
1,2219,6,0.0,0.018315962032310614,0.04478293208917293,0.14222479236134392,0
1,2219,7,0.0,0.019120435279182457,0.04601456653855358,0.14613630386039986,0
1,2219,8,0.0,0.01380892408983756,0.03450964866178771,0.10959817471559248,0
1,2219,9,0.0,0.011430154696987046,0.028569176594056767,0.09073200479444829,0
1,2219,10,0.0,0.010989582275984964,0.02892088323973736,0.09184897955068853,0
1,2219,11,0.0,0.009735238363405662,0.02551194756057435,0.08102264133378215,0
1,2219,12,0.0,0.01417925733813761,0.03454985858310633,0.10972587621800904,0
1,2219,13,0.0,0.018179242379129622,0.045216088105261606,0.1436004397692807,0
1,2219,14,0.0,0.016988337298356682,0.04398120183004962,0.13967860089253684,0
1,2219,15,0.0,0.01665420137678239,0.041909236655055415,0.1330983078423475,0
1,2219,16,0.0,0.013285951709900977,0.034894672104786445,0.11082095930517016,0
1,2219,17,0.0,0.008286001285755892,0.02034218057948969,0.0646041309518087,0
1,2219,18,0.0,0.007348862417413384,0.01969395061472544,0.0625454365376641,0
1,2219,19,0.0,0.009189139048100155,0.02347397081629725,0.07455029113762036,0
1,2219,20,0.0,0.013853601316991822,0.031973118434080225,0.10154248322501254,0
1,2219,21,0.0,0.016322257196227638,0.03730365469272286,0.11847157601086333,0
1,2219,22,0.0,0.015613527885291812,0.03637506671734627,0.11552250086490821,0
2,4437,0,0.011214836933878036,0.026645773965247182,0.07751378590230727,0.12442627183232462,1
2,4437,1,0.0024262893973505673,0.022856911272225965,0.06793955510104878,0.11044506851495524,1
2,4437,2,0.01016382110627534,0.026511127604767124,0.07900492006951355,0.1267641886515348,1
2,4437,3,0.022618868208525933,0.03138639902045169,0.09099683114198583,0.1455028837472605,1
2,4437,4,0.01253431895381718,0.033100348111965515,0.09360601937252723,0.14999668658020385,1
2,4437,5,0.006851907387220746,0.024042774217042526,0.07302839262514728,0.11792044199734622,1
2,4437,6,0.017253261102986972,0.01717363238711161,0.0494909486326469,0.08030111222543512,1
2,4437,7,0.02011884897985322,0.022766003249983686,0.060948630802416616,0.09724732328211036,1
2,4437,8,0.0020776500223826377,0.022336967442721095,0.05983676407457286,0.09557249096659942,1
2,4437,9,0.01786268747470865,0.026447274974480805,0.0771689525570329,0.12359843118661126,1
2,4437,10,0.022330376080883618,0.0312412473903392,0.08605202348998822,0.1378024005399508,1
2,4437,11,0.014101712494872909,0.022721189739940563,0.06407313343474344,0.10350333744672208,1
2,4437,12,0.007257719168120513,0.021009000060886015,0.06289309844196676,0.1016496482042615,1
2,4437,13,0.0148196143001737,0.0276896050017656,0.07945158529364955,0.12700315463236236,1
2,4437,14,0.0,0.024503127885245356,0.06971793552845978,0.11125898418806703,0
2,4437,15,0.0033850988595325315,0.017928616416313038,0.04893306942897912,0.07834350768021645,1
2,4437,16,0.024558049847675734,0.022044578210062442,0.0648055034947875,0.10380654692216196,1
2,4437,17,0.03036398763772663,0.026532463004784658,0.07561491968336612,0.12085225982987327,1
2,4437,18,0.020755504464087582,0.026850296544592585,0.07455795320469343,0.11925546084289246,1
2,4437,19,0.02589514828971695,0.028683869720722042,0.08471111325733319,0.13527182160356482,1
2,4437,20,0.025393757181874754,0.021764578905221727,0.07080264567122257,0.11327968551840023,1
2,4437,21,0.017340383811075943,0.016191939422368972,0.048437812189747805,0.07833653872751026,1
2,4437,22,0.016352541384646813,0.01546237397253252,0.04671566130900009,0.07509238192074597,1
3,6656,0,0.024880926033796436,0.06301148025697395,0.17646843735438714,0.19647392539874942,1
3,6656,1,0.013145910030882502,0.06215777353978671,0.17654879339244367,0.19757830560950593,1
3,6656,2,0.027714525422035785,0.06302491987431057,0.1744979427128485,0.19714670481926433,1
3,6656,3,0.04679699856571007,0.07129376173149467,0.19090639394702782,0.21419613907452853,1
3,6656,4,0.04375430091268728,0.06560272929382999,0.18330037330269944,0.20353075684405106,1
3,6656,5,0.035716442325077646,0.05372531868556874,0.16320659475978758,0.17928935408799718,1
