task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
air_quality,0,temperature,8,8,9,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.03454113920544449,0.03454113920544449,0.803973933986571,0.803973933986571,0.803973933986571,45.45250446359811,0.21685082852255422
air_quality,0,gain,7,6,10,5,0.38461538461538464,0,0,0.2222222222222222,0.1111111111111111,0.02895603750575182,0.04677136213785493,0.009445496711332645,0.019510540794419176,0.7952527195869498,0.7662966820811979,0.7484813574490948,5.771738642579294e-11,1.6031893141443676
air_quality,0,leak,12,10,12,3,0.23076923076923078,1,1,0.2727272727272727,0.09090909090909091,0.0,0.0,-0.05948737209042398,0.05948737209042398,0.8036725205341265,0.8036725205341265,0.8036725205341265,0.0,0.0
air_quality,0,sparsity,6,6,6,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.0736454195333773,0.0736454195333773,0.7547220615278247,0.7547220615278247,0.7547220615278247,47.99999999757879,0.09399484319583284
