task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
controlled_d20_white_plus_distractor,0,temperature,5,4,6,3,0.23076923076923078,1,0,0.8181818181818182,0.2727272727272727,0.0,0.0007025598252203835,-0.0017617808584040001,0.0017617808584040001,1.0486568544056005,1.0486568544056005,1.0479542945803801,55.055038665715465,0.19548644581548658
controlled_d20_white_plus_distractor,1,temperature,8,8,9,2,0.15384615384615385,1,1,0.3333333333333333,0.16666666666666666,0.0,0.0,-0.10017881639855708,0.10017881639855708,0.8488498586945465,0.8488498586945465,0.8488498586945465,54.95938491626669,0.22502332740538078
controlled_d20_white_plus_distractor,2,temperature,12,11,12,2,0.15384615384615385,1,1,0.16666666666666666,0.16666666666666666,0.0016730960352907553,0.0016730960352907553,-0.016829873014320502,0.018502969049611257,0.8633827362479045,0.8617096402126138,0.8617096402126138,55.162618633729366,0.2767695014946939
controlled_d20_white_plus_distractor,3,temperature,11,11,11,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.01571468379157903,-0.014902555307085747,0.014902555307085747,0.8853825496742239,0.8853825496742239,0.8696678658826449,55.00828493323295,0.1706728738775416
controlled_d20_white_plus_distractor,4,temperature,7,7,8,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.008242357677537263,0.008242357677537263,0.9846966562807918,0.9846966562807918,0.9846966562807918,55.067364231844024,0.10667725574653819
controlled_d20_white_plus_distractor,5,temperature,5,5,6,2,0.15384615384615385,1,0,0.5,0.16666666666666666,0.0032121780775025144,0.0033008887241252616,-0.004792081174616714,0.008004259252119228,0.9725101333232438,0.9692979552457412,0.9692092445991185,55.234818419677445,0.08388030003941183
controlled_d20_white_plus_distractor,6,temperature,11,9,11,3,0.23076923076923078,1,0,0.5454545454545454,0.2727272727272727,0.0,0.003655533460399596,-0.002454482444440222,0.002454482444440222,0.9283595662267199,0.9283595662267199,0.9247040327663203,55.16098040438945,0.10417223617195726
controlled_d20_white_plus_distractor,7,temperature,7,5,7,3,0.23076923076923078,1,0,0.7272727272727273,0.2727272727272727,0.0,0.0076142625015372944,-0.0043095730817031,0.0043095730817031,0.9706546276041729,0.9706546276041729,0.9630403651026356,55.22124933645655,0.11045625823011662
controlled_d20_white_plus_distractor,8,temperature,1,0,2,3,0.23076923076923078,1,1,0.09090909090909091,0.09090909090909091,0.005093947940037369,0.005093947940037369,-0.005578651077229505,0.010672599017266873,0.9703197816432898,0.9652258337032524,0.9652258337032524,55.079172405250276,0.09609662742863645
controlled_d20_white_plus_distractor,9,temperature,7,7,7,1,0.07692307692307693,0,0,0.3076923076923077,0.07692307692307693,0.0,0.012812796687442951,-0.004596166794013841,0.004596166794013841,1.0604687605735552,1.0604687605735552,1.0476559638861123,55.12904537792729,0.1285301892114853
controlled_d20_white_plus_distractor,10,temperature,12,12,12,1,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693,0.0,0.013789691053004205,-0.0015862105592148522,0.0015862105592148522,1.0451942194215174,1.0451942194215174,1.0314045283685132,55.19097531225601,0.09045167908519991
controlled_d20_white_plus_distractor,11,temperature,12,12,12,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.06218793429551168,0.06218793429551168,0.8997466972626633,0.8997466972626633,0.8997466972626633,55.078153786977026,0.08321465195847944
memory_d10,0,temperature,12,12,12,1,0.07692307692307693,1,1,0.15384615384615385,0.07692307692307693,0.0,0.0,-0.11016635164388025,0.11016635164388025,0.7030085312011206,0.7030085312011206,0.7030085312011206,55.168520378027935,0.3105809784506719
memory_d10,1,temperature,5,4,5,2,0.15384615384615385,1,1,0.16666666666666666,0.16666666666666666,0.020431903580120925,0.020431903580120925,-0.03073939570174658,0.051171299281867505,0.7719177459549996,0.7514858423748787,0.7514858423748787,55.089351515012254,0.1969257604846988
memory_d10,2,temperature,5,5,5,1,0.07692307692307693,1,1,0.15384615384615385,0.07692307692307693,0.0,0.0,-0.04167059066461059,0.04167059066461059,0.6857613921255992,0.6857613921255992,0.6857613921255992,55.13143919050499,0.10872023869827119
memory_d10,3,temperature,0,0,0,1,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693,0.0,0.02531750991041415,-0.057633570334961894,0.057633570334961894,0.795980570290765,0.795980570290765,0.7706630603803508,55.10208853058767,0.10880638287350508
memory_d10,4,temperature,9,9,9,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.062256074834875275,0.005687362376613859,-0.005687362376613859,0.7863867956207697,0.7863867956207697,0.7241307207858945,55.2835414046429,0.02851711880723684
memory_d10,5,temperature,0,0,0,1,0.07692307692307693,1,1,0.15384615384615385,0.07692307692307693,0.0,0.0,-0.06659668262797781,0.06659668262797781,0.7073980015474176,0.7073980015474176,0.7073980015474176,55.28662240391971,0.16326460466403292
memory_d10,6,temperature,1,1,2,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.043640534595259156,0.043640534595259156,0.666100774796121,0.666100774796121,0.666100774796121,54.94310732433656,0.10519551053085152
memory_d10,7,temperature,9,9,10,2,0.15384615384615385,1,0,0.25,0.16666666666666666,0.0,0.000748988591808053,-0.07373097743103325,0.07373097743103325,0.6821213548240447,0.6821213548240447,0.6813723662322366,55.21326711441042,0.22828907209539362
memory_d10,8,temperature,10,10,11,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.11344372510421845,0.11344372510421845,0.6037869320095707,0.6037869320095707,0.6037869320095707,55.16436174863965,0.1071688079541323
memory_d10,9,temperature,3,2,3,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.003275301639972139,0.003275301639972139,-0.03671443214985568,0.03998973378982782,0.8373931665120816,0.8341178648721095,0.8341178648721095,54.88910594059401,0.14157920392570855
memory_d10,10,temperature,5,5,5,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.028270325450727718,0.028270325450727718,0.6723394040270465,0.6723394040270465,0.6723394040270465,55.1637394670088,0.13480371242933653
memory_d10,11,temperature,9,9,9,1,0.07692307692307693,0,0,0.23076923076923078,0.07692307692307693,0.0,0.03255976009862516,-0.0114270245868008,0.0114270245868008,0.7869410702681644,0.7869410702681644,0.7543813101695392,55.09908406047563,0.11167971485737982
narma10,0,temperature,7,7,7,1,0.07692307692307693,0,0,0.23076923076923078,0.07692307692307693,0.0,0.01581420172505854,0.004152653644718029,-0.004152653644718029,0.7134152554398516,0.7134152554398516,0.6976010537147931,55.22312534711334,0.20766027428921774
narma10,1,temperature,12,12,12,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.08933176412564653,0.08933176412564653,0.6932273852218911,0.6932273852218911,0.6932273852218911,55.24669089692285,0.10484615840132627
narma10,2,temperature,0,0,1,2,0.15384615384615385,1,1,0.16666666666666666,0.16666666666666666,0.00508630337419036,0.00508630337419036,-0.058075812556951024,0.06316211593114138,0.6659109135426219,0.6608246101684315,0.6608246101684315,55.16450285314403,0.07541575113429244
narma10,3,temperature,8,8,8,1,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693,0.0,0.02312463729369285,-0.05726139788338818,0.05726139788338818,0.6206223059903004,0.6206223059903004,0.5974976686966076,55.30005796979342,0.1285346024785845
narma10,4,temperature,9,8,9,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.08546824970828439,0.08546824970828439,0.6280387054233022,0.6280387054233022,0.6280387054233022,55.22582998483231,0.15270378595604917
narma10,5,temperature,3,2,3,2,0.15384615384615385,0,0,0.08333333333333333,0.08333333333333333,0.0,0.07282091678571145,-0.002894242098343417,0.002894242098343417,0.7007442168377689,0.7007442168377689,0.6279233000520574,55.07366452575,0.14100912796399112
narma10,6,temperature,0,0,3,4,0.3076923076923077,1,1,0.2,0.1,0.0,0.0,-0.040668198247092335,0.040668198247092335,0.6717159815736395,0.6717159815736395,0.6717159815736395,55.27813509860302,0.20732497935674332
narma10,7,temperature,12,11,12,2,0.15384615384615385,1,1,0.08333333333333333,0.08333333333333333,0.0,0.0,-0.06961589188909963,0.06961589188909963,0.5797660440000374,0.5797660440000374,0.5797660440000374,55.09173921855143,0.13429474449683698
narma10,8,temperature,4,2,4,3,0.23076923076923078,0,0,0.2727272727272727,0.2727272727272727,0.0,0.014996703126606392,-0.009525473611833464,0.009525473611833464,0.675788733549882,0.675788733549882,0.6607920304232756,55.05328070289744,0.1940721341478968
narma10,9,temperature,0,0,0,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.07145420356602222,0.07145420356602222,0.6643988401629388,0.6643988401629388,0.6643988401629388,55.34827565346104,0.1475736937948744
narma10,10,temperature,11,11,11,1,0.07692307692307693,1,0,0.15384615384615385,0.07692307692307693,0.0,0.0014175627063119922,-0.042259766835865215,0.042259766835865215,0.6488799225895426,0.6488799225895426,0.6474623598832306,55.10875958353712,0.15009475069560052
