study,epsilon_abs,n_cases,mean_safe_width,width_fraction,near_containment,matched_near_rate,near_containment_ratio,mean_safe_gain,mean_full_gain,mean_safe_minus_matched_gain,support_range,spectral_radius_range
Synthetic path comparison,0.005,28,2.892857142857143,0.2225274725274725,0.8571428571428571,0.36271783771783767,2.3631119509685523,0.002532624170134075,0.007031400961607639,0.027508273150725984,55.164509808178494,0.1718653276233216
Appliances Energy,0.002,4,2.75,0.2115384615384615,0.25,0.3617424242424242,0.6910994764378803,0.006847210264488974,0.04231583545894387,-0.009346907125749902,45.690535690437,0.17473694240814472
Air Quality,0.002,4,2.75,0.2115384615384615,0.5,0.35984848484848486,1.389473684206665,0.00856344260838635,0.0163415511651119,0.03925159754132302,45.51527290444179,0.1522324878971107
