task,trial,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_minus_matched_gain,random_inside_gain,random_outside_gain,inside_minus_outside_gain
controlled_d20_white_plus_distractor,0,1,1,0.15384615384615385,0.07692307692307693,0.030682714977105122,0.0,-0.006528440298201099,0.006528440298201099
controlled_d20_white_plus_distractor,1,1,1,0.36363636363636365,0.2727272727272727,0.015623556054556443,-0.004085496206464034,-0.012180753124310995,0.00809525691784696
controlled_d20_white_plus_distractor,2,0,0,0.07692307692307693,0.07692307692307693,0.008535355596887305,0.0,-0.027900950063462715,0.027900950063462715
controlled_d20_white_plus_distractor,3,0,0,0.07692307692307693,0.07692307692307693,0.02356880375218918,0.0,0.006388368511230924,-0.006388368511230924
controlled_d20_white_plus_distractor,4,0,0,0.3076923076923077,0.07692307692307693,0.00011873021881595533,0.0,-0.035422284436552376,0.035422284436552376
controlled_d20_white_plus_distractor,5,0,0,0.08333333333333333,0.08333333333333333,0.011474601763344408,0.007620313393891021,-0.025978385512284263,0.033598698906175284
controlled_d20_white_plus_distractor,6,1,1,0.16666666666666666,0.16666666666666666,0.019093493496677872,-0.021172688464695555,-0.03779552486676241,0.016622836402066854
controlled_d20_white_plus_distractor,7,1,1,0.3333333333333333,0.16666666666666666,0.049258841005080774,-0.002010599761121501,-0.12094767241710236,0.11893707265598086
controlled_d20_white_plus_distractor,8,1,1,0.8181818181818182,0.2727272727272727,0.0030383447520697256,-0.010085198449195198,-0.0036741557682411496,-0.006411042680954049
controlled_d20_white_plus_distractor,9,0,0,0.16666666666666666,0.16666666666666666,0.017611932403851005,0.010548163062926053,0.0018739462604777657,0.008674216802448287
controlled_d20_white_plus_distractor,10,1,1,0.25,0.16666666666666666,0.10036247668491305,-0.02290898287072518,-0.011852122704071544,-0.011056860166653637
controlled_d20_white_plus_distractor,11,1,0,0.5,0.16666666666666666,0.014666240776136727,-0.0036836003743838663,-0.0004556832583069159,-0.0032279171160769504
memory_d10,0,0,0,0.15384615384615385,0.07692307692307693,0.004751810182321941,0.0,0.06501063504837368,-0.06501063504837368
memory_d10,1,1,1,0.15384615384615385,0.07692307692307693,0.060093136044566405,0.0,-0.10920033876609214,0.10920033876609214
memory_d10,2,1,0,0.4166666666666667,0.16666666666666666,0.03329284946803443,-0.028451858493199533,-0.06510582980846225,0.03665397131526271
memory_d10,3,1,1,0.4166666666666667,0.16666666666666666,0.03343610080914077,-0.035022237071184126,-0.07090791412626951,0.035885677055085385
memory_d10,4,1,0,0.23076923076923078,0.07692307692307693,0.06953852794987789,0.0,-0.07083048830370642,0.07083048830370642
memory_d10,5,1,1,0.16666666666666666,0.16666666666666666,0.0663393394294297,-0.002796953153813897,-0.12432199221253848,0.12152503905872458
memory_d10,6,1,1,0.2727272727272727,0.18181818181818182,0.06277504848816541,-0.01182305524035987,-0.14198274618427797,0.1301596909439181
memory_d10,7,0,0,0.25,0.16666666666666666,0.007022188357817353,0.00014484532559955188,-0.05218848803616749,0.05233333336176704
memory_d10,8,0,0,0.07692307692307693,0.07692307692307693,0.10044440947341027,0.0,-0.12844535137683388,0.12844535137683388
memory_d10,9,1,1,0.25,0.16666666666666666,0.13707510564368108,0.006882947135561701,-0.18096156633595295,0.18784451347151465
memory_d10,10,0,0,0.15384615384615385,0.07692307692307693,-0.007881877317824689,0.0,0.02554633586221522,-0.02554633586221522
memory_d10,11,1,1,0.16666666666666666,0.08333333333333333,0.11541496602232999,-0.013691288712766148,-0.16785084518733795,0.1541595564745718
narma10,0,0,0,0.23076923076923078,0.07692307692307693,-0.02931171108234323,0.0,0.038985036105601,-0.038985036105601
narma10,1,1,1,0.3333333333333333,0.08333333333333333,0.023378375488131237,0.005246347134987617,-0.07939461183466312,0.08464095896965074
narma10,2,1,1,0.6,0.3,0.0061425427542703415,0.000529546158461569,-0.005809686534444136,0.006339232692905705
narma10,3,1,1,0.5,0.4,0.06121536355590568,-0.000219255569666843,-0.009641681249192624,0.009422425679525781
narma10,4,1,1,0.25,0.16666666666666666,0.025614407795785804,0.009527900719824567,-0.02669263913767539,0.036220539857499956
narma10,5,1,1,0.07692307692307693,0.07692307692307693,0.04500750667737629,0.0,-0.043297016681876466,0.043297016681876466
narma10,6,1,1,0.3333333333333333,0.16666666666666666,0.018587642285528488,-0.001183351564582269,-0.03775661538555675,0.03657326382097448
narma10,7,1,1,0.16666666666666666,0.16666666666666666,0.06257586603059165,0.016196011323792003,-0.08468599309186586,0.10088200441565787
narma10,8,0,0,0.16666666666666666,0.08333333333333333,0.023927737852741382,0.018323637549115146,-0.04443982451303152,0.06276346206214667
narma10,9,1,1,0.18181818181818182,0.18181818181818182,0.06852562713509952,-0.015734136312841818,-0.10972824975061135,0.09399411343776953
narma10,10,1,0,0.3076923076923077,0.07692307692307693,0.036662326053421,0.0,-0.056907418435800494,0.056907418435800494
narma10,11,1,1,0.15384615384615385,0.07692307692307693,0.06403878517250114,0.0,-0.06603609222117235,0.06603609222117235
lorenz_x,0,1,1,0.8333333333333334,0.16666666666666666,0.0035294500527986604,0.001921008954201709,-0.0006743818827861098,0.002595390836987819
lorenz_x,1,1,1,1.0,1.0,0.0,-0.013025355124896946,0.0,-0.013025355124896946
lorenz_x,2,1,1,1.0,0.5555555555555556,0.0011225116950731283,-0.01009026260436794,-0.01378047063014251,0.0036902080257745704
lorenz_x,3,1,0,1.0,0.2727272727272727,-0.0003243138660148288,-0.001611115270413163,0.0007723382978564348,-0.002383453568269598
lorenz_x,4,1,0,0.7272727272727273,0.18181818181818182,0.0009890180002667557,-0.00036590534356504764,-0.009387387658912876,0.009021482315347829
lorenz_x,5,1,0,1.0,0.09090909090909091,-0.0009081071701799164,-0.001117017144974657,0.0012196910481239785,-0.0023367081930986354
lorenz_x,6,1,0,0.23076923076923078,0.07692307692307693,0.025006944223622388,0.0,-0.03514446046445535,0.03514446046445535
lorenz_x,7,1,1,1.0,0.4,0.001426697847088392,0.0005712209421755796,-0.002898884213891866,0.0034701051560674457
lorenz_x,8,1,0,1.0,0.2857142857142857,-0.0014323588121105055,-0.020259119795096973,0.01342355058999498,-0.033682670385091956
lorenz_x,9,1,1,1.0,0.2857142857142857,0.0014932809905711956,-0.0008838438688283431,0.0004628720749218756,-0.0013467159437502187
lorenz_x,10,1,1,0.38461538461538464,0.07692307692307693,0.010491587251540922,0.0,-0.01707037588697579,0.01707037588697579
