split_id,split_start,window_id,safe_gain,safe_dispersion,anchor_spread,local_sensitivity,positive_safe_gain
0,0,0,0.019249653276394052,0.03238773220797555,0.09065696564290718,0.15455332624494167,1
0,0,1,0.04174784336127635,0.043584313204736096,0.11230737102237298,0.21679082051077062,1
0,0,2,0.04264696857041028,0.04402046103882491,0.10136234970649852,0.22937431741847647,1
0,0,3,0.04580649956023208,0.04121132243395258,0.10972351102254962,0.21443357081284053,1
0,0,4,0.04337384266015443,0.0521831135543096,0.14512986876050915,0.24723678498504603,1
0,0,5,0.061711516543956124,0.047474002086312334,0.12983147234349615,0.2212546458679438,1
0,0,6,0.061753713551516154,0.04181260662698657,0.12091990212937137,0.20384145436464443,1
0,0,7,0.07907038088252827,0.05511024029410986,0.15313768730641442,0.2553194893293992,1
0,0,8,0.0261936381361928,0.06316588367232674,0.17116685775422574,0.2880636097053989,1
0,0,9,0.0,0.0558927927927859,0.1600503313701191,0.2663045321919091,0
0,0,10,0.0227592252040158,0.04602610580799043,0.13556392166979722,0.2214645922145549,1
0,0,11,0.051244803340182554,0.05592621918879176,0.160076720051601,0.25705950085622986,1
0,0,12,0.08900370953915826,0.06993792552111346,0.1872049863022765,0.30233876960247086,1
0,0,13,0.10146858047398477,0.07074674521401937,0.180831458949446,0.2923473086944705,1
0,0,14,0.05790797323506314,0.05156011038621757,0.14093808403480654,0.2303856727250646,1
0,0,15,0.013209910482927079,0.04171333364157675,0.11493575900028209,0.19546389553687182,1
0,0,16,0.06462153115359959,0.06510060834300395,0.17788662779521439,0.29258608953704723,1
0,0,17,0.10872069895552705,0.09317578134614314,0.24039517951073525,0.38705287277475375,1
0,0,18,0.019850509002808048,0.0986783680278319,0.25089341992062625,0.4014650184166312,1
0,0,19,0.037303221465458725,0.07102378282072828,0.1957314449178984,0.31469545221400097,1
0,0,20,0.018004991361961986,0.051847160533183216,0.15299877530918657,0.24746021046860794,1
0,0,21,0.02087666601215643,0.07730838456976255,0.21723627104415658,0.34975528979456394,1
0,0,22,0.044346280315708864,0.09057471910466805,0.23998973859595518,0.38803513437894593,1
0,0,23,0.015087913244221651,0.07381919270568542,0.2036603227543662,0.3400332516426226,1
0,0,24,0.009631221233264764,0.0657447336583559,0.1814669614082244,0.3056607796714509,1
0,0,25,0.0065553843850206794,0.05259678099664087,0.15014627622529572,0.2468286628769638,1
0,0,26,0.009379120196191693,0.04561422690284801,0.14010570837756828,0.22791822892114905,1
0,0,27,0.026263108316299855,0.0530335302669916,0.16320341809337743,0.26561143385720987,1
0,0,28,0.010574920291201995,0.03873480016048339,0.12583978656782996,0.20713839049184696,1
0,0,29,0.005661572432103856,0.03108788591382299,0.09376995802502396,0.15415363438076266,1
0,0,30,0.0070050085740104295,0.035570295941016024,0.10311554125214886,0.168959200293412,1
0,0,31,0.0038854043166167695,0.028929348847312054,0.08491511451705767,0.14081520177168017,1
0,0,32,0.0,0.043957803373101595,0.13818103114266939,0.22505030751898214,0
0,0,33,0.018857957335255526,0.06366547563760977,0.18412612480985305,0.2991718073648614,1
0,0,34,0.06758913943263933,0.07838505123056207,0.21539811904843484,0.3464658921280285,1
0,0,35,0.06310780224863333,0.07053604548520492,0.19327986847014803,0.3136037629784941,1
0,0,36,0.014017589149939225,0.04955166181072207,0.14330544513319018,0.24173200756762125,1
0,0,37,0.016345218345696688,0.0601732746688252,0.17182362387430483,0.2814484082264668,1
0,0,38,0.016822324153527912,0.05801206240874515,0.1643860934095271,0.26711088457006144,1
1,5076,0,0.0,0.029870090428841013,0.08930568385336407,0.10464433057201912,0
1,5076,1,0.0,0.02428131066139785,0.07506339874752849,0.08253889072787633,0
1,5076,2,0.0,0.027666144197461707,0.08806472736505737,0.09553852670917777,0
1,5076,3,0.013313974889308966,0.03706421271194609,0.1170190820438546,0.12543584315197331,1
1,5076,4,0.017078029547198503,0.031927973745779395,0.10194063598909714,0.10964577279087824,1
1,5076,5,0.0,0.025537927205968192,0.07556489040013342,0.08392147675557343,0
1,5076,6,0.022135360346286936,0.030876230779653208,0.09440497921705106,0.10252839635279969,1
1,5076,7,0.01723847531262357,0.02979365792099061,0.09631143965025252,0.10384211374229653,1
1,5076,8,0.002940542909691257,0.030998555477683147,0.0993470925742389,0.10735552531021841,1
1,5076,9,0.0010295682481817892,0.027192740698054,0.08710407622291878,0.09411206486789742,1
1,5076,10,0.02601153028637254,0.019265387991182503,0.056452189526847725,0.06366514145214952,1
1,5076,11,0.002628392994244333,0.019036170997278053,0.05728939276013647,0.06463495296984988,1
