task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
appliances,0,temperature,10,9,11,3,0.23076923076923078,0,0,0.36363636363636365,0.18181818181818182,0.02230575952979219,0.11283950491192718,0.061545004257757,-0.039239244727964806,1.0152766568703768,0.9929708973405846,0.9024371519584496,45.674764394964875,0.10628156380225273
appliances,0,gain,12,11,12,2,0.15384615384615385,1,1,0.16666666666666666,0.08333333333333333,0.0,0.0,-0.03210547949807658,0.03210547949807658,0.9532093694380954,0.9532093694380954,0.9532093694380954,5.751843445978011e-11,1.538340720323304
appliances,0,leak,12,8,12,5,0.38461538461538464,1,1,0.2222222222222222,0.1111111111111111,0.0,0.0,-0.11333381308077484,0.11333381308077484,0.9879330701979111,0.9879330701979111,0.9879330701979111,0.0,0.0
appliances,0,sparsity,7,7,7,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.09075887721553544,0.010968479723101315,-0.010968479723101315,0.9792692340057887,0.9792692340057887,0.8885103567902533,47.99999999757879,0.20915274802060768
