path,n_cases,mean_safe_width,safe_gain,full_gain,safe_minus_matched_gain,near_containment,matched_near_rate,support_range,spectral_radius_range
temperature,28,2.892857142857143,0.002532624170134093,0.00703140096160766,0.027508273150726025,0.8571428571428571,0.36271783771783767,55.164509808178494,0.17186532762332168
gain,28,3.9642857142857144,0.004235209783419646,0.010421881250754923,0.03453142116005445,0.8571428571428571,0.49668089846661273,6.820499720561202e-11,1.5698099502394454
leak,28,4.857142857142857,0.004241083311396181,0.005014989647268743,0.06148648528950108,0.9642857142857143,0.623177120498549,0.0,0.0
sparsity,28,1.2857142857142858,0.0019728637971751007,0.009594410175824176,0.038468161015757944,0.75,0.23814102564102566,57.99999999649543,0.15155350505063872
