study,base_positive_gain_rate,dispersion_high_precision,dispersion_precision_ratio,dispersion_high_minus_low_gain,anchor_high_precision,anchor_precision_ratio,anchor_high_minus_low_gain
Synthetic indicator panel,0.2894736842105263,0.3951612903225806,1.3651026392914718,0.017543645494165382,0.41935483870967744,1.448680351901154,0.020625990881174235
Appliances Energy,0.6538461538461539,0.9230769230769231,1.4117647058801939,0.03076804450832607,0.9487179487179487,1.4509803921546436,0.030371779264896613
Air Quality,0.5978260869565217,0.7391304347826086,1.2363636363615682,0.026791073938643953,0.8260869565217391,1.3818181818158706,0.027991708988048158
