config,N,K,task,trial,case_id,default_idx,default_tau,safe_low_idx,safe_high_idx,safe_low_tau,safe_high_tau,safe_width,safe_width_fraction,safe_log_cell_fraction,safe_log_center_span_fraction,test_oracle_idx,test_oracle_tau,safe_contains_near,safe_contains_oracle,matched_near_rate,matched_oracle_rate,containment_lift_near_case,containment_lift_oracle_case,default_test_nrmse,safe_best_test_nrmse,full_oracle_test_nrmse,safe_gain,full_oracle_gain,matched_best_gain,safe_minus_matched_gain,support_range,support_fraction_range,spectral_radius_range
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,2,0.15017108890398193,1,2,0.1096069665318704,0.15017108890398193,2,0.15384615384615385,0.15384615384615388,0.0833333333333112,1,0.1096069665318704,1,1,0.25,0.16666666666666666,3.9999999999840004,5.999999999964,0.8519121991062969,0.8494963327765915,0.8494963327765915,0.002415866329705363,0.002415866329705363,-0.0562808567560392,0.058696723085744563,55.18259548609684,0.9197099247682806,0.12186301241308461
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,0,0.07999999999999999,0,2,0.07999999999999999,0.15017108890398193,3,0.23076923076923078,0.23076923076923073,0.16666666666662253,2,0.15017108890398193,1,1,0.6363636363636364,0.2727272727272727,1.571428571426102,3.6666666666532226,0.9868425773057097,0.9768889410876098,0.9768889410876098,0.00995363621809986,0.00995363621809986,0.004767330257050733,0.005186305961049126,55.09332299198959,0.9182220498664931,0.13596766582886588
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,6,0.529150262212918,5,7,0.38621651813276453,0.7249819385087718,3,0.23076923076923078,0.23076923076923078,0.16666666666662258,4,0.28189194928259564,0,0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.9665254812124534,0.9408056584290512,0.9310518966048223,0.025719822783402235,0.03547358460763106,0.019882966437818193,0.005836856345584042,55.184193039950806,0.9197365506658467,0.3570076917617726
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,0,0.07999999999999999,0,0,0.07999999999999999,0.07999999999999999,1,0.07692307692307693,0.07692307692307686,0.0,7,0.7249819385087718,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.9013134042581753,0.9013134042581753,0.877524459432285,0.0,0.023788944825890335,-0.021855667028789914,0.021855667028789914,55.27826637397668,0.9213044395662778,0.19179127036241128
N60_K13_baseline,60,13,memory_d10,0,memory_d10__trial0,0,0.07999999999999999,0,0,0.07999999999999999,0.07999999999999999,1,0.07692307692307693,0.07692307692307686,0.0,0,0.07999999999999999,1,1,0.15384615384615385,0.07692307692307693,6.499999999957749,12.999999999831,0.7983752605511838,0.7983752605511838,0.7983752605511838,0.0,0.0,-0.04829367212505535,0.04829367212505535,55.28390003194053,0.9213983338656756,0.1229588493870658
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,2,0.15017108890398193,1,3,0.1096069665318704,0.20574746894441603,3,0.23076923076923078,0.23076923076923078,0.16666666666662253,2,0.15017108890398193,1,1,0.36363636363636365,0.2727272727272727,2.7499999999924376,3.6666666666532226,0.699534952683491,0.699534952683491,0.699534952683491,0.0,0.0,-0.04790768148424616,0.04790768148424616,55.20211758762425,0.9200352931270709,0.07234558352104381
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,12,3.5,10,12,1.864539985982451,3.5,3,0.23076923076923078,0.23076923076923084,0.16666666666662264,11,2.554582148011408,1,1,0.18181818181818182,0.18181818181818182,5.4999999999697495,5.4999999999697495,0.7289661826318123,0.7233734838822431,0.7233734838822431,0.005592698749569247,0.005592698749569247,-0.07578237729345054,0.08137507604301979,54.91094203774203,0.9151823672957005,0.1808688207634781
N60_K13_baseline,60,13,memory_d10,3,memory_d10__trial3,12,3.5,12,12,3.5,3.5,1,0.07692307692307693,0.07692307692307697,0.0,11,2.554582148011408,1,0,0.15384615384615385,0.07692307692307693,6.499999999957749,0.0,0.8641514773460214,0.8641514773460214,0.8614767560397462,0.0,0.0026747213062752184,-0.02209120355362339,0.02209120355362339,55.31957620001195,0.921992936666866,0.20901048383402332
N60_K13_baseline,60,13,narma10,0,narma10__trial0,0,0.07999999999999999,0,0,0.07999999999999999,0.07999999999999999,1,0.07692307692307693,0.07692307692307686,0.0,0,0.07999999999999999,1,1,0.07692307692307693,0.07692307692307693,12.999999999831,12.999999999831,0.6962481749966873,0.6962481749966873,0.6962481749966873,0.0,0.0,-0.03953745833105869,0.03953745833105869,54.93143831123409,0.9155239718539016,0.5410882990586872
N60_K13_baseline,60,13,narma10,1,narma10__trial1,9,1.3608915892697748,9,10,1.3608915892697748,1.864539985982451,2,0.15384615384615385,0.15384615384615383,0.0833333333333112,10,1.864539985982451,1,1,0.3333333333333333,0.16666666666666666,2.9999999999910005,5.999999999964,0.6991276442290227,0.6811512044902006,0.6811512044902006,0.017976439738822125,0.017976439738822125,-0.05661890866507325,0.07459534840389537,55.145838875250234,0.9190973145875039,0.1375746948510148
