config,N,K,task,trial,case_id,window_id,window_start,window_end,safe_width,dashboard_defined,safe_gain,full_gain,positive_safe_gain,safe_dispersion,anchor_spread,local_log_sensitivity
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,6,150,200,3,True,0.0,0.04177018934405585,0,0.030700442065095816,0.09101146320606522,0.1512269631861023
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,7,175,225,3,True,0.0,0.051180908149891846,0,0.03690920521077468,0.10561077265658068,0.1765880244205287
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,8,200,250,3,True,0.0,0.03357938891992318,0,0.045910862445254566,0.1363074734763611,0.22486594274440913
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,9,225,275,3,True,0.0058394916692587895,0.0058394916692587895,1,0.04923910261841639,0.14337292283025152,0.23686829541360685
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,10,250,300,3,True,0.022679902356060433,0.022679902356060433,1,0.04434230726083968,0.1261810055835286,0.21434537381656907
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,11,275,325,3,True,0.0448115813006007,0.08992587003804597,1,0.04544784370817152,0.13774933460468422,0.23032767448521893
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,12,300,350,3,True,0.045933919214328656,0.055808235935832506,1,0.04569495788623946,0.1359516259243913,0.22724324918788075
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,13,325,375,3,True,0.018101623543643752,0.018101623543643752,1,0.045134420680810805,0.12883749855870122,0.21772744900760438
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,14,350,400,3,True,0.0,0.0,0,0.038090617433359716,0.11382610152352413,0.19057488831829883
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,15,375,425,3,True,0.0016225902973447948,0.0016225902973447948,1,0.035566724717249594,0.10660580820720483,0.17980871813981902
