effective_support_mean,effective_support_fraction,row_entropy_mean,rms_weight,spectral_radius,config,N,K,task,trial,point_idx,tau
1.4811236844289377,0.024685394740482296,0.3089534394964667,0.12909944487248623,1.0836184004668656,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,0,0.07999999999999999
1.7544926332460806,0.029241543887434676,0.4478103888011141,0.12909944487244085,1.1060830481695658,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,1,0.1096069665318704
2.2431172947798763,0.03738528824633127,0.6508630898447026,0.129099444872373,1.130148118429887,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,2,0.15017108890398193
3.1752574491911023,0.05292095748651837,0.9541252124559055,0.1290994448722656,1.1546594244252488,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,3,0.20574746894441603
5.047811325395721,0.08413018875659535,1.396756440863595,0.1290994448720807,1.1734990987028793,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,4,0.28189194928259564
8.784707589014715,0.14641179315024525,1.9860271337257427,0.12909944487174022,1.1831700629780681,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,5,0.38621651813276453
15.578024621173581,0.2596337436862263,2.644409082740744,0.1290994448710963,1.1859581087938027,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,6,0.529150262212918
25.650724698799824,0.4275120783133304,3.210798523808177,0.12909944487003525,1.1566454247091729,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,7,0.7249819385087718
36.59537660054807,0.6099229433424679,3.5915144220786703,0.12909944486875868,1.0777194686919538,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,8,0.9932883883792685
45.400696370348975,0.7566782728391496,3.813553868163217,0.1290994448676595,1.064095096380718,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,9,1.3608915892697748
51.22808440212043,0.8538014067020072,3.935807203057434,0.12909944486690988,1.0791092428250377,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,10,1.864539985982451
54.701524434944176,0.9116920739157363,4.00176887904597,0.12909944486645886,1.083974430644887,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,11,2.554582148011408
56.66371917052577,0.9443953195087629,4.037101677805687,0.12909944486620353,1.0816283005303406,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,12,3.5
1.5442351120202389,0.02573725186700398,0.3669824529930447,0.12909944487246092,1.0565013889133141,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,0,0.07999999999999999
1.8346895125533513,0.030578158542555856,0.516838777660482,0.1290994448724069,1.0664732752960195,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,1,0.1096069665318704
2.323497335496234,0.0387249555916039,0.7245759136107642,0.12909944487232808,1.0800252921816633,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,2,0.15017108890398193
3.223406189867264,0.053723436497787734,1.0264259181483184,0.12909944487220584,1.0911443632076052,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,3,0.20574746894441603
5.05252358702007,0.08420872645033449,1.4664349290334784,0.12909944487199707,1.0878582068605498,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,4,0.28189194928259564
8.817899220096876,0.14696498700161462,2.046536989445486,0.1290994448716238,1.0629692344823451,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,5,0.38621651813276453
15.734319384545264,0.2622386564090877,2.67812218332216,0.12909944487097155,1.0445121570780649,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,6,0.529150262212918
25.78090227918269,0.42968170465304484,3.2192987636868815,0.12909944486995445,1.0526592688649838,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,7,0.7249819385087718
36.56582005916121,0.6094303343193536,3.590796487999634,0.12909944486873054,1.1008226046624159,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,8,0.9932883883792685
45.312738734304,0.7552123122384,3.811628974539476,0.12909944486765823,1.1255815973176897,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,9,1.3608915892697748
51.155890553268236,0.852598175887804,3.934418177587207,0.12909944486691527,1.0858293897856839,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,10,1.864539985982451
54.6560142645841,0.9109335710764017,4.000946312067801,0.12909944486646366,1.0266659696689315,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,11,2.554582148011408
56.63755810400983,0.9439593017334971,4.036643135864876,0.12909944486620664,0.9896139314888238,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,12,3.5
1.5618590916166184,0.026030984860276975,0.36238250502152547,0.12909944487246766,1.1090582118316588,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,0,0.07999999999999999
1.8906570166141585,0.03151095027690264,0.5314125804819212,0.12909944487240965,1.1537412840776504,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,1,0.1096069665318704
2.478553383980158,0.04130922306633597,0.7741450624614682,0.1290994448723187,1.2092531224241763,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,2,0.15017108890398193
3.563235512410933,0.05938725854018222,1.1143608349375194,0.12909944487217398,1.2734335981108347,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,3,0.20574746894441603
5.661951606392964,0.09436586010654939,1.5771938700634827,0.1290994448719347,1.339255265466958,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,4,0.28189194928259564
9.765359135282308,0.16275598558803847,2.152841237391661,0.12909944487153116,1.3844727710892946,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,5,0.38621651813276453
16.963346508318256,0.28272244180530426,2.7604577073432535,0.12909944487084882,1.3678686037737178,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,6,0.529150262212918
27.048341516161877,0.45080569193603126,3.2737876159580166,0.1290994448697969,1.2521083085140914,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,7,0.7249819385087718
37.60911714234664,0.6268186190391106,3.621756085351467,0.1290994448685761,1.078668201558241,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,8,0.9932883883792685
46.000913388914945,0.7666818898152491,3.8274565536085365,0.12909944486755143,1.0680043895490037,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,9,1.3608915892697748
51.54749823683225,0.8591249706138708,3.942211305832707,0.12909944486685523,1.076745859857581,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,10,1.864539985982451
54.86441528475435,0.9144069214125725,4.00478772114786,0.12909944486643277,1.0564065232952575,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,11,2.554582148011408
56.746052131567424,0.9457675355261237,4.038564730902164,0.12909944486619104,1.027465079327522,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,12,3.5
1.495424768191075,0.02492374613651792,0.3170703050638932,0.12909944487248282,1.0818463184700147,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,0,0.07999999999999999
1.7573963613947687,0.02928993935657948,0.4633940888235021,0.12909944487243544,1.1002443673937894,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,1,0.1096069665318704
2.256460334265053,0.03760767223775088,0.6932293757428082,0.12909944487235478,1.1221958418324665,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,2,0.15017108890398193
3.280409826115863,0.05467349710193105,1.0385137176273476,0.1290994448722211,1.1512624130478626,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,3,0.20574746894441603
5.4307041705476875,0.09051173617579479,1.5193388267828172,0.12909944487199956,1.1733883965856258,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,4,0.28189194928259564
9.66367434433358,0.16106123907222633,2.1193307214712163,0.12909944487161004,1.184037156317234,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,5,0.38621651813276453
16.959123810127075,0.2826520635021179,2.7503959748686766,0.12909944487090846,1.1612419237443201,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,6,0.529150262212918
27.13056525576166,0.4521760875960277,3.274234077784227,0.1290994448698216,1.0466042719003958,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,7,0.7249819385087718
37.725917245869205,0.6287652874311535,3.624064736573841,0.12909944486858213,0.9922458859548228,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,8,0.9932883883792685
46.10280868047847,0.7683801446746411,3.8294851559341767,0.1290994448675482,1.0581282985609193,N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,3,9,1.3608915892697748
