config,N,K,n_cases,safe_width_fraction,safe_width_fraction_ci_low,safe_width_fraction_ci_high,safe_log_cell_fraction,safe_log_cell_fraction_ci_low,safe_log_cell_fraction_ci_high,safe_contains_near,safe_contains_near_ci_low,safe_contains_near_ci_high,safe_contains_oracle,safe_contains_oracle_ci_low,safe_contains_oracle_ci_high,matched_near_rate,matched_near_rate_ci_low,matched_near_rate_ci_high,matched_oracle_rate,matched_oracle_rate_ci_low,matched_oracle_rate_ci_high,safe_gain,safe_gain_ci_low,safe_gain_ci_high,matched_best_gain,matched_best_gain_ci_low,matched_best_gain_ci_high,safe_minus_matched_gain,safe_minus_matched_gain_ci_low,safe_minus_matched_gain_ci_high,support_fraction_range,support_fraction_range_ci_low,support_fraction_range_ci_high,spectral_radius_range,spectral_radius_range_ci_low,spectral_radius_range_ci_high,containment_lift_near,containment_lift_oracle
N60_K13_baseline,60,13,16,0.20673076923076925,0.1298076923076923,0.3269230769230769,0.20673076923076925,0.1298076923076923,0.326923076923077,0.8125,0.625,1.0,0.75,0.5,0.9375,0.28372668997669,0.18378314393939393,0.41029374271561764,0.21350524475524474,0.13141025641025642,0.335518648018648,0.004009984165072012,0.0008554175200432408,0.008027717465764616,-0.029955420012043,-0.042390978355514884,-0.017340950026437773,0.03396540417711501,0.022329583835086535,0.04633256201883318,0.919408004552192,0.9184063691073683,0.9203115584864631,0.18186980740528136,0.1331959389218443,0.2442598936699154,2.8636713735457477,3.512794268151408
N60_K25_finer_grid,60,25,16,0.175,0.12250000000000001,0.23500000000000001,0.17500000000000004,0.12250000000000005,0.23500000000000004,0.6875,0.4375,0.875,0.6875,0.4375,0.875,0.3182792207792208,0.2105653747294372,0.44900101461038944,0.13712370962370962,0.09936938061938061,0.17725763819513818,0.0015361415507239603,0.00022972210130058068,0.003186240590012996,-0.02571654688319335,-0.038087903887880956,-0.0141912027252522,0.027252688433917316,0.015734155365304616,0.039720699388654815,0.919408004552192,0.9184042491724064,0.9203284812980392,0.1892643143029311,0.14085447484780278,0.25140430896423804,2.1600530449794424,5.013720835598754
N150_K13_larger_reservoir,150,13,16,0.18750000000000003,0.13942307692307693,0.2403846153846154,0.1875,0.13942307692307693,0.24038461538461536,0.75,0.5,0.9375,0.5,0.25,0.75,0.33223824786324785,0.2299890734265734,0.4533801961926962,0.15134275446775444,0.11164232468919968,0.19538079108391593,0.005981224562806861,0.0006710284991541562,0.013897475122028716,-0.014444601011178476,-0.022741696716289995,-0.005890777950324303,0.02042582557398534,0.012928665286478194,0.028522894966157515,0.9429965173830093,0.9427373219203381,0.9432565330172078,0.13836121238822352,0.10576965235485479,0.1758967926199704,2.257416191005345,3.3037590848343372
